No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
2,Brandon Bass,PF,6'-8'',250,30-Apr-85,us,10,Louisiana State University
28,Tarik Black,C,6'-9'',250,22-Nov-91,us,1,"University of Memphis, University of Kansas"
3,Anthony Brown,SF,6'-7'',210,10-Oct-92,us,R,Stanford University
24,Kobe Bryant,SF,6'-6'',212,23-Aug-78,us,19,
6,Jordan Clarkson,SG,6'-5'',194,7-Jun-92,us,1,"University of Tulsa, University of Missouri"
17,Roy Hibbert,C,7'-2'',270,11-Dec-86,us,7,Georgetown University
9,Marcelo Huertas,PG,3-Jun,200,25-May-83,br,R,
4,Ryan Kelly,PF,6'-11'',230,9-Apr-91,us,2,Duke University
7,Larry Nance,PF,6'-9'',230,1-Jan-93,us,R,University of Wyoming
30,Julius Randle,PF,6'-9'',250,29-Nov-94,us,1,University of Kentucky
1,D'Angelo Russell,PG,6'-5'',195,23-Feb-96,us,R,Ohio State University
50,Robert Sacre,C,7'-0'',270,6-Jun-89,us,3,Gonzaga University
23,Lou Williams,SG,6'-1'',175,27-Oct-86,us,10,
37,Metta World Peace,SF,6'-6'',260,13-Nov-79,us,15,St. John's University
0,Nick Young,SG,6'-7'',210,1-Jun-85,us,8,University of Southern California
