Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,LeBron James,34,22,22,34.8,10.2,19.7,0.52,2.2,5.9,0.372,8,13.8,0.582,0.575,5.5,7.7,0.71,1,6.8,7.8,6.6,1.3,0.9,3.5,1.9,28.1
2,Brandon Ingram,21,18,18,32.3,6.2,13.3,0.464,0.6,1.8,0.303,5.6,11.4,0.49,0.485,2.9,4.5,0.642,0.7,3.6,4.2,2.3,0.8,0.7,2.3,2.9,15.8
3,Kyle Kuzma,23,22,20,30.9,6.5,13.8,0.469,1.5,5.2,0.298,4.9,8.6,0.571,0.525,1.9,2.6,0.719,0.6,4.6,5.2,1.7,0.5,0.5,1.4,2.3,16.3
4,Lonzo Ball,21,22,20,27,3.1,7.8,0.401,1.3,4,0.33,1.8,3.8,0.476,0.485,0.4,0.7,0.563,1,4.4,5.5,4.5,1.1,0.3,2,2.4,8
5,Rajon Rondo,32,11,2,25.3,3.6,8,0.455,0.8,1.9,0.429,2.8,6.1,0.463,0.506,0.4,0.7,0.5,0.9,3.6,4.5,6.5,1.2,0,2.3,2.3,8.5
6,Josh Hart,23,22,3,24.6,3.3,7.1,0.459,1.7,4.5,0.388,1.5,2.7,0.576,0.58,1,1.4,0.677,0.5,3,3.4,1.3,1.2,0.6,0.9,2.1,9.2
7,JaVale McGee,31,22,22,24.3,5.4,8.6,0.621,0,0.2,0.25,5.3,8.5,0.629,0.624,1.3,1.9,0.683,2.4,4,6.4,1,0.9,2.8,1.5,2.6,12
8,Kentavious Caldwell-Pope,25,22,3,20.9,2.4,6.5,0.371,1.2,3.7,0.321,1.2,2.8,0.435,0.462,2,2.1,0.915,0.4,1.9,2.3,0.6,0.8,0.2,0.6,1.5,8
9,Tyson Chandler,36,12,0,20.8,1.4,2.5,0.567,0,0,,1.4,2.5,0.567,0.567,0.9,1.4,0.647,2.6,4.4,7,0.6,0.5,0.5,1.1,2.7,3.8
10,Lance Stephenson,28,22,0,15.2,3,7,0.429,1,2.7,0.373,2,4.3,0.463,0.5,0.7,0.8,0.833,0.6,2.8,3.4,1.8,0.7,0.1,1.2,1.5,7.7
11,Johnathan Williams,23,6,0,14.2,1.8,3.2,0.579,0,0,,1.8,3.2,0.579,0.579,0.2,0.8,0.2,1.8,1.7,3.5,0.7,0.2,0.5,0.3,3.2,3.8
12,Svi Mykhailiuk,21,11,0,9.2,0.7,2.5,0.296,0.5,1.5,0.313,0.3,1,0.273,0.389,0.4,0.7,0.5,0.2,0.4,0.5,1,0.3,0,0.5,0.5,2.3
13,Ivica Zubac,21,6,0,7.8,0.8,2.3,0.357,0,0,,0.8,2.3,0.357,0.357,0.7,0.7,1,1.7,1.8,3.5,0.3,0.2,0.3,0.7,2,2.3
14,Michael Beasley,30,7,0,6.6,1.4,2.9,0.5,0,0.3,0,1.4,2.6,0.556,0.5,0.6,0.7,0.8,0.4,0.7,1.1,0.3,0.3,0,1,1.7,3.4
15,Moritz Wagner,21,3,0,2.3,0,1,0,0,1,0,0,0,,0,0,0,,0,0.3,0.3,0.7,0,0,0,0,0
